country code,Zip Code,provincialcode,Division 3
,8707,16,Baungon
,8721,16,Damulog
,8714,16,Maramag
,8701,16,Sumilao
,8708,16,Talakag
,8716,16,Kitaotao
,8722,16,Lantapan
,8704,16,Malitbog
,8705,16,Phillips
,8719,16,Dangcagan
,8712,16,Don Carlos
,8702,16,Impasugong
,8713,16,Kadingilan
,8718,16,Kalilangan
,8723,16,Cabanglasan
,8717,16,Pangantucan
,8711,16,San Fernando
,8709,16,Valencia City
,8703,16,Manolo Fortich
,8700,16,Malaybalay City
,3012,17,Angat
,3014,17,Pandi
,3018,17,Bocaue
,3007,17,Bustos
,3021,17,Obando
,3006,17,Baliuag
,3017,17,Bulacan
,3002,17,Hagonoy
,3019,17,Marilao
,3005,17,Pulilan
,3003,17,Calumpit
,3001,17,Paombong
,3004,17,Plaridel
,3015,17,Guiguinto
,3020,17,Meycauayan
,3011,17,San Miguel
,3008,17,San Rafael
,3022,17,Santa Maria
,3000,17,Malolos City
,3010,17,San Ildefonso
,3016,17,Balagtas (Bigaa)
,3009,17,Dona Remedios Trinidad
,3023,17,San Jose del Monte City
,3024,17,"Sapang Palay, Meycauayan"
,3013,17,Gov-Gen Francisco Escudero Norzagaray
,3527,18,Piat
,3528,18,Tuao
,3504,18,Iguig
,3524,18,Lasam
,3526,18,Rizal
,3517,18,Abulug
,3507,18,Alcala
,3515,18,Aparri
,3506,18,Baggao
,3511,18,Buguey
,3501,18,Enrile
,3509,18,Lal-Lo
,3503,18,Solana
,3505,18,Amulung
,3520,18,Calayan
,3513,18,Gonzaga
,3519,18,Claveria
,3508,18,Gattaran
,3522,18,Pamplona
,3523,18,Allacapan
,3514,18,Santa Ana
,3502,18,Peñablanca
,3525,18,Santo Niño
,3516,18,Ballesteros
,3510,18,Camalaniugan
,3518,18,Sanchez-Mira
,3521,18,Santa Praxedes
,3512,18,Santa Teresita
,3500,18,Tuguegarao City
,1401,18,Baesa
,1410,18,Maypajo
,1404,18,San Jose
,1408,18,Sangandaan
,1411,18,Fish Market
,1428,18,Bagong Silang
,1412,18,Isla de Cocomo
,1420,18,Kaybiga/Deparo
,1402,18,Santa Quiteria
,1426,18,Bankers Village
,1403,18,Grace Park East
,1406,18,Grace Park West
,1427,18,Victory Heights
,1422,18,Novaliches North
,1427,18,Tala Leprosarium
,1407,18,University Hills
,1421,18,Bagumbong/Pag-asa
,1409,18,Kaunlaran Village
,1425,18,Amparo Subdivision
,1413,18,Kapitbayahan timor
,1423,18,Lilles Ville Subdivision
,1424,18,Captol Parkland Subdivision
,1405,18,First Avenue to Seventh Avenue West
,4600,19,Daet
,4604,19,Labo
,4608,19,Basud
,4610,19,Imelda
,4602,19,Talisay
,4603,19,Vinzons
,4601,19,Mercedes
,4605,19,Paracale
,4607,19,Capalonga
,4609,19,San Vicente
,4611,19,Santa Elena
,4612,19,Tula-na-Lupa
,4606,19,Jose Panganiban
,4422,20,Goa
,4432,20,Baao
,4435,20,Bato
,4433,20,Buhi
,4430,20,Bula
,4409,20,Lupi
,4418,20,Pili
,4434,20,Nabua
,4410,20,Ragay
,4404,20,Bombon
,4412,20,Gainza
,4413,20,Milaor
,4419,20,Ocampo
,4421,20,Sagnay
,4427,20,Siruma
,4420,20,Tigaon
,4436,20,Balatan
,4406,20,Cabusao
,4402,20,Canaman
,4425,20,Lagunoy
,4403,20,Magarao
,4417,20,Pasacao
,4408,20,Sipocot
,4429,20,Caramoan
,4407,20,Libmanan
,4416,20,Pamplona
,4423,20,San Jose
,4426,20,Tinambac
,4405,20,Calabanga
,4401,20,Camaligan
,4414,20,Minalabac
,4400,20,Naga City
,4431,20,Iriga City
,4411,20,Del Gallego
,4428,20,Garchitorena
,4424,20,Presentacion
,4415,20,San Fernando
,9103,21,Sagay
,9101,21,Mahinog
,9104,21,Catarman
,9100,21,Mambajao
,9102,21,Guinsiliban
,5810,22,Dao
,5801,22,Panay
,5804,22,Pilar
,5816,22,Sigma
,5814,22,Tapaz
,5805,22,Ivisan
,5806,22,Sapian
,5813,22,Dumalag
,5812,22,Dumarao
,5809,22,Ma-ayon
,5815,22,Panitan
,5811,22,Cuartero
,5808,22,Jamindan
,5807,22,Mambusao
,5802,22,Pontevedra
,5800,22,Roxas City
,5803,22,President Roxas
,4801,23,Bato
,4805,23,Viga
,4803,23,Baras
,4800,23,Virac
,4809,23,Pandan
,4804,23,Gigmoto
,4807,23,Bagamanoc
,4808,23,Caramoran
,4806,23,Panganiban
,4810,23,San Andres
,4802,23,San Miguel
,4103,24,Imus
,4110,24,Naic
,4104,24,Kawit
,4108,24,Tanza
,4119,24,Amadeo
,4102,24,Bacoor
,4122,24,Indang
,4118,24,Silang
,4123,24,Alfonso
,4116,24,Carmona
,4106,24,Rosario
,4111,24,Ternate
,4105,24,Noveleta
,4107,24,Gen Trias
,4114,24,Dasmariñas
,4113,24,Magallanes
,4112,24,Maragondon
,4100,24,Cavite City
,4111,24,Puerto Azul
,4111,24,Caylabne Bay
,4120,24,Tagaytay City
,4125,24,Corregidor Island
,4116,24,Gen Mariano Alvarez
,4109,24,Trece Martires City
,4121,24,Mendez(Mendez-Nuñez)
,4101,24,Sangley Point Naval Base
,4115,24,Dasmarinas Resettlement Area
,4124,24,Gen Emilio Aguinaldo (Bailen)
,6010,25,Bogo
,6037,25,Naga
,6049,25,Poro
,6023,25,Alcoy
,6021,25,Argao
,6025,25,Oslob
,6048,25,Pilar
,6034,25,Ronda
,6007,25,Sogod
,6031,25,Badian
,6036,25,Barili
,6008,25,Borbon
,6019,25,Carcar
,6005,25,Carmen
,6006,25,Catmon
,6002,25,Liloan
,6051,25,Tudela
,6030,25,Alegria
,6024,25,Boljoon
,6017,25,Cordova
,6027,25,Samboan
,6020,25,Sibonga
,6009,25,Tabogon
,6043,25,Tuburan
,6042,25,Asturias
,6041,25,Balamban
,6052,25,Bantayan
,6035,25,Dumanjug
,6012,25,Medellin
,6032,25,Moalboal
,6047,25,Santa Fe
,6044,25,Tabuelan
,6031,25,Alcantara
,6000,25,Cebu City
,6022,25,Dalaguete
,6028,25,Ginatilan
,6029,25,Malabuyoc
,6026,25,Santander
,6040,25,Aloguinsan
,6003,25,Compostela
,6004,25,Danao City
,6053,25,Madridejos
,6001,25,Consolacion
,6046,25,Minglanilla
,6011,25,San Remigio
,6038,25,Toledo City
,6013,25,Daanbantayan
,6014,25,Mandaue City
,6039,25,Pinamungahan
,6018,25,San Fernando
,6045,25,Talisay City
,6016,25,Mactan Island
,6050,25,San Francisco
,6015,25,Lapu-Lapu City (Opon)
,8114,26,Maco
,8108,26,Mawab
,8111,26,Monkayo
,8117,26,Pantukan
,8109,26,Compostela
,8107,26,Montevista
,8106,26,Nabunturan
,8110,26,New Bataan
,8103,26,Laak (San Vicente)
,8115,26,Mabini (Doña Alicia)
,8116,26,Maragusan (San Mariano)
,8118,28,Babak
,8101,28,Carmen
,8102,28,Asuncion
,8113,28,Kapalong
,8120,28,Kaputian
,8100,28,Tagum City
,8104,28,New Corella
,8105,28,Panabo City
,8112,28,Santo Tomas
,8119,28,Island Garden City of Samal
,8009,29,Sulop
,8012,29,Malita
,8007,29,Padada
,8006,29,Hagonoy
,8010,29,Malalag
,8003,29,Matanao
,8005,29,Bansalan
,8008,29,Kiblawan
,8004,29,Magsaysay
,8015,29,Sarangani
,8000,29,Davao City
,8002,29,Digos City
,8001,29,Santa Cruz
,8011,29,Santa Maria
,8013,29,Don Marcelino
,8014,29,Jose AbadSantos
,8200,31,Mati
,8207,31,Lopon
,8202,31,Manay
,8206,31,Boston
,8203,31,Caraga
,8205,31,Cateel
,8204,31,Baganga
,8201,31,Tarragona
,8208,31,Banaybanay
,8209,31,San Isidro
,8210,31,Gov Generoso
,6818,33,Oras
,6816,33,Taft
,6815,33,Sulat
,6809,33,Guiuan
,6813,33,Lawaan
,6820,33,Maslog
,6822,33,Arteche
,6817,33,Dolores
,6804,33,Hernani
,6819,33,Jipapad
,6807,33,Salcedo
,6800,33,Borongan
,6806,33,Can-avid
,6811,33,Giporlos
,6803,33,Llorente
,6808,33,Mercedes
,6812,33,Balangiga
,6802,33,Maydolong
,6814,33,San Julian
,6801,33,Balangkayan
,6810,33,Quinapondan
,6805,33,Gen MacArthur
,6821,33,San Policarpo
,5045,34,Jordan
,5044,34,Buenavista
,5046,34,Nueva Valencia
,3605,35,Lamut
,3609,35,Tinoc
,3601,35,Banaue
,3600,35,Lagawe
,3610,35,Asipulo
,3607,35,Hingyon
,3604,35,Kiangan
,3603,35,Hungduan
,3606,35,Aguinaldo
,3602,35,Mayoyao (Mayaoyao)
,3608,35,Alfonso Lista (Potia)
,2922,36,Adams
,2904,36,Badoc
,2906,36,Batac
,2902,36,Paoay
,2920,36,Bangui
,2918,36,Burgos
,2911,36,Carasi
,2907,36,Marcos
,2912,36,Piddig
,2905,36,Pinili
,2914,36,Sarrat
,2915,36,Vintar
,2916,36,Bacarra
,2913,36,Dingras
,2910,36,Solsona
,2903,36,Currimao
,2921,36,Dumalneg
,2919,36,Pagudpud
,2917,36,Pasuquin
,2909,36,Nueva Era
,2900,36,Laoag City
,2901,36,San Nicolas
,2908,36,Banna (Espiritu)
,2715,37,Suyo
,2703,37,Santa
,2719,37,Sigay
,2716,37,Alilem
,2727,37,Bantay
,2724,37,Burgos
,2733,37,Sinait
,2717,37,Sugpon
,2732,37,Cabugao
,2702,37,Caoayan
,2714,37,Tagudin
,2708,37,Banayoyo
,2723,37,Lidlidda
,2725,37,Nagbukel
,2704,37,Narvacan
,2707,37,Santiago
,2718,37,Cervantes
,2709,37,Galimuyod
,2730,37,Magsingal
,2722,37,San Emilio
,2713,37,Santa Cruz
,2700,37,Vigan City
,2710,37,Candon City
,2706,37,San Esteban
,2726,37,San Vicente
,2712,37,Santa Lucia
,2705,37,Santa Maria
,2728,37,San Ildefonso
,2729,37,Santo Domingo
,2701,37,Santa Catalina
,2711,37,Salcedo (Baugen)
,2731,37,San Juan (Lapog)
,2721,37,Quirino (Angkaki)
,2720,37,Gregorio del Pilar
,5012,38,Ajuy
,5026,38,Leon
,5032,38,Mina
,5020,38,Oton
,5014,38,Sara
,5016,38,Batad
,5037,38,Passi
,5001,38,Pavia
,5009,38,Anilao
,5010,38,Banate
,5019,38,Carles
,5035,38,Dingle
,5038,38,Duenas
,5043,38,Lemery
,5030,38,Maasin
,5023,38,Miagao
,5018,38,Balasan
,5040,38,Calinog
,5022,38,Guimbal
,5029,38,Igbaras
,5034,38,Janiuay
,5003,38,Leganes
,5008,38,Pototan
,5004,38,Zarraga
,5041,38,Bingawan
,5031,38,Cabatuan
,5006,38,Dumangas
,5017,38,Estancia
,5042,38,Lambunao
,5021,38,Tigbauan
,5027,38,Tubungan
,5028,38,Alimodian
,5033,38,Badiangan
,5005,38,NewLucena
,5013,38,Concepcion
,5025,38,San Miguel
,5039,38,San Rafael
,5000,38,Iloilo City
,5036,38,San Enrique
,5024,38,San Joaquin
,5015,38,San Dionisio
,5007,38,Barotoc Nuevo
,5011,38,Barotoc Viejo
,5002,38,Santa Barbara
,3301,39,Gamu
,3304,39,Luna
,3313,39,Jones
,3319,39,Ramon
,3320,39,Roxas
,3306,39,Alicia
,3316,39,Aurora
,3322,39,Burgos
,3312,39,Cordon
,3300,39,Ilagan
,3323,39,Mallig
,3324,39,Quezon
,3328,39,Cabagan
,3305,39,Cauayan
,3309,39,Echague
,3334,39,Palanan
,3321,39,Quirino
,3315,39,Cabatuan
,3311,39,Santiago
,3325,39,Tumauini
,3307,39,Angadanan
,3336,39,Dinapigui
,3335,39,Divilacan
,3333,39,Maconacon
,3302,39,Naguillan
,3318,39,San Mateo
,3329,39,San Pablo
,3310,39,San Isidro
,3314,39,San Agustin
,3332,39,San Mariano
,3330,39,Santa Maria
,3327,39,Santo Tomas
,3326,39,Delfin Albano
,3303,39,ReinaMercedes
,3308,39,San Guillermo
,3331,39,Benito Soliven
